org_type,CODE_ABREV,DESC_COBER,n_polygons,total_area_ha
N/A,,No Predefinida,371,7855.756672574695
N/A,PST,Pastizal,117,3072.928052573716
N/A,NRV,Red Viaria,55,388.34206977132527
N/A,LFN,Frutales No Cítricos,39,350.5478111574812
N/A,LFC,Frutales Cítricos,8,277.40420213008747
N/A,SDN,Suelo Desnudo,17,255.2833136068149
N/A,CHL,Cultivos Herbáceos distintos de Arroz,31,187.29225104180708
N/A,ECG,Campo de Golf,4,186.7316416845103
N/A,MTR,Matorral,20,184.8020137666009
N/A,LVI,Viñedo,10,168.9420787021159
N/A,NRF,Red Ferroviaria,18,148.01316952426473
N/A,EPU,Parque Urbano,23,118.45775122512389
N/A,HSM,Salinas Marinas,1,94.16125026284132
N/A,PDA,"Playas, dunas y arenales",4,59.96086818827284
N/A,LAA,Lámina de Agua Artificial,14,38.704671903665506
N/A,HMA,Marismas,1,34.70082951553699
N/A,LOL,Olivar,5,32.511417056946925
N/A,RMB,Ramblas,3,19.87043645220929
N/A,SNE,Suelo No Edificado,6,16.91787004226526
N/A,CNF,Coniferas,3,15.244740776067413
N/A,LOC,Otros Leñosos,1,7.042471638234056
N/A,ALG,Lagos y Lagunas,3,6.403771070746296
N/A,ARR,Afloramientos Rocosos y Roquedos,1,6.305152547532267
N/A,VAP,"Vial, Aparcamiento o Zona Peatonal sin Vegetación",1,4.914515173233931
N/A,ACM,Acantilados Marinos,1,4.017737821206805
NON_RES,IPO,Polígono Industrial Ordenado,15,685.7289399460913
NON_RES,,No Predefinida,63,608.5861220078166
NON_RES,PMX,Minero Extractivo,12,388.85013916028305
NON_RES,IAS,Industrial Aislada,17,162.85192346563815
NON_RES,TCO,Comercial y Oficinas,27,126.67374387397388
NON_RES,NPO,Portuario,5,121.24711818849173
NON_RES,EDU,Educación,37,120.83657594720744
NON_RES,EAI,Administrativo Institucional,11,70.0240592034342
NON_RES,ZEV,Zonas de Extracción o Vertido,9,61.05939933382475
NON_RES,EDP,Deportivo,18,58.84356752463081
NON_RES,IPS,Polígono Industrial sin Ordenar,4,36.9756687685654
NON_RES,ECM,Cementerio,1,26.10225411371872
NON_RES,NCC,Conducciones y Canales,7,19.821272370693165
NON_RES,ESN,Sanitario,6,18.175497244346616
NON_RES,NDP,Depuradoras y Potabilizadoras,2,17.346901471321498
NON_RES,ECL,Cultural,5,13.573554306179673
NON_RES,PAG,"Agrícola, Ganadero",3,12.8644466796252
NON_RES,EPN,Penitenciario,1,10.285159822859999
NON_RES,TCH,Complejo Hotelero,2,7.364325090495134
NON_RES,OCT,Otras Construcciones,1,2.21027590179862
NON_RES,NEL,Eléctrica,1,1.1908306076748978
RES,UEN,Ensanche,113,1693.9336600113368
RES,UDS,Discontinuo,122,1225.1780564136543
RES,,No Predefinida,120,1187.309791173793
RES,UCS,Casco,3,44.982856915456665
