ID_COBER,CODE_ABREV,DESC_COBER,n_polygons,total_clip_area_ha,mean_dominant_percentage
600,,No Predefinida,554,9651.652585756305,100.0
300,PST,Pastizal,117,3072.928052573716,100.0
812,UEN,Ensanche,113,1693.9336600113368,100.0
813,UDS,Discontinuo,122,1225.1780564136543,100.0
821,IPO,Polígono Industrial Ordenado,15,685.7289399460913,100.0
833,PMX,Minero Extractivo,12,388.85013916028305,100.0
881,NRV,Red Viaria,55,388.34206977132527,100.0
223,LFN,Frutales No Cítricos,39,350.5478111574812,100.0
222,LFC,Frutales Cítricos,8,277.4042021300874,100.0
333,SDN,Suelo Desnudo,17,255.2833136068149,100.0
212,CHL,Cultivos Herbáceos distintos de Arroz,31,187.2922510418071,100.0
859,ECG,Campo de Golf,4,186.7316416845103,100.0
320,MTR,Matorral,20,184.8020137666009,100.0
231,LVI,Viñedo,10,168.9420787021159,100.0
823,IAS,Industrial Aislada,17,162.85192346563815,100.0
882,NRF,Red Ferroviaria,18,148.01316952426473,100.0
841,TCO,Comercial y Oficinas,27,126.67374387397389,100.0
883,NPO,Portuario,5,121.24711818849173,100.0
854,EDU,Educación,37,120.83657594720744,100.0
860,EPU,Parque Urbano,23,118.45775122512389,100.0
422,HSM,Salinas Marinas,1,94.16125026284132,100.0
851,EAI,Administrativo Institucional,11,70.0240592034342,100.0
131,ZEV,Zonas de Extracción o Vertido,9,61.05939933382475,100.0
331,PDA,"Playas, dunas y arenales",4,59.96086818827284,100.0
858,EDP,Deportivo,18,58.8435675246308,100.0
811,UCS,Casco,3,44.982856915456665,100.0
103,LAA,Lámina de Agua Artificial,14,38.7046719036655,100.0
822,IPS,Polígono Industrial sin Ordenar,4,36.9756687685654,100.0
421,HMA,Marismas,1,34.70082951553699,100.0
232,LOL,Olivar,5,32.511417056946925,100.0
853,ECM,Cementerio,1,26.10225411371872,100.0
336,RMB,Ramblas,3,19.87043645220929,100.0
912,NCC,Conducciones y Canales,7,19.821272370693165,100.0
852,ESN,Sanitario,6,18.175497244346616,100.0
911,NDP,Depuradoras y Potabilizadoras,2,17.346901471321498,100.0
121,SNE,Suelo No Edificado,6,16.91787004226526,100.0
316,CNF,Coniferas,3,15.244740776067413,100.0
857,ECL,Cultural,5,13.573554306179673,100.0
831,PAG,"Agrícola, Ganadero",3,12.8644466796252,100.0
855,EPN,Penitenciario,1,10.285159822859999,100.0
842,TCH,Complejo Hotelero,2,7.364325090495134,100.0
241,LOC,Otros Leñosos,1,7.042471638234056,100.0
513,ALG,Lagos y Lagunas,3,6.403771070746296,100.0
352,ARR,Afloramientos Rocosos y Roquedos,1,6.305152547532267,100.0
104,VAP,"Vial, Aparcamiento o Zona Peatonal sin Vegetación",1,4.914515173233931,100.0
351,ACM,Acantilados Marinos,1,4.017737821206805,100.0
111,OCT,Otras Construcciones,1,2.21027590179862,100.0
894,NEL,Eléctrica,1,1.1908306076748978,100.0
